S No,Name,Maths,Science,English,Social Science,Language Subject,Language Subject Marks,Optional Subject,Optional Subject Marks,Year,Board
1,Aarav Deshmukh,85,90,80,75,Marathi,80,Computer Science,85,2024,Maharashtra Board
2,Ananya Patel,90,88,92,85,Gujarati,82,Music,88,2024,Gujarat Board
3,Rohan Singh,78,82,85,79,Bengali,87,Physical Education,90,2024,West Bengal Board
4,Kavya Sharma,92,85,88,90,Punjabi,84,Dance,86,2024,Punjab Board
5,Vedika Reddy,80,92,85,88,Telugu,88,Arts,82,2024,Telangana Board
6,Ishaan Gupta,88,90,84,87,Hindi,85,Psychology,88,2024,CBSE
7,Nisha Verma,82,84,87,85,Tamil,90,Sociology,85,2024,Tamil Nadu Board
8,Arjun Kumar,85,88,90,82,Kannada,82,Music,90,2024,Karnataka Board
9,Priya Sharma,78,80,82,85,Odia,85,Arts,88,2024,Odisha Board
10,Siddharth Singh,90,85,88,84,Malayalam,88,Dance,82,2024,Kerala Board
11,Aryan Kapoor,85,82,90,88,Hindi,82,Arts,90,2024,CBSE
12,Siya Reddy,82,90,84,87,Telugu,90,Psychology,84,2024,Telangana Board
13,Yuvraj Singh,88,85,80,92,Punjabi,85,Sociology,80,2024,Punjab Board
14,Anvi Patel,85,88,90,82,Gujarati,88,Music,90,2024,Gujarat Board
15,Advik Sharma,78,82,85,89,Marathi,82,Dance,85,2024,Maharashtra Board
16,Myra Verma,92,85,88,85,Bengali,85,Arts,88,2024,West Bengal Board
17,Aradhya Singh,80,92,85,88,Tamil,92,Psychology,85,2024,Tamil Nadu Board
18,Vihaan Gupta,88,90,84,85,Kannada,90,Sociology,84,2024,Karnataka Board
19,Aaradhya Patel,82,84,87,90,Odia,84,Arts,87,2024,Odisha Board
20,Saanvi Sharma,90,85,88,84,Malayalam,85,Music,88,2024,Kerala Board
21,Aryan Kumar,85,88,90,82,Hindi,88,Dance,90,2024,CBSE
22,Anvi Singh,82,85,84,87,Telugu,85,Psychology,84,2024,Telangana Board
23,Arjun Reddy,88,80,82,90,Punjabi,80,Arts,82,2024,Punjab Board
24,Siya Patel,85,90,84,87,Gujarati,90,Sociology,84,2024,Gujarat Board
25,Yuvraj Sharma,90,82,85,89,Marathi,82,Music,85,2024,Maharashtra Board
26,Ananya Singh,82,85,88,84,Bengali,85,Dance,88,2024,West Bengal Board
27,Aarav Gupta,85,88,90,82,Tamil,88,Psychology,90,2024,Tamil Nadu Board
28,Myra Patel,88,90,84,85,Kannada,90,Arts,84,2024,Karnataka Board
29,Advik Singh,78,82,85,89,Odia,82,Sociology,85,2024,Odisha Board
30,Saanvi Patel,92,85,88,84,Malayalam,85,Music,88,2024,Kerala Board
31,Aryan Reddy,80,82,87,90,Hindi,82,Dance,87,2024,CBSE
32,Anvi Reddy,85,88,90,82,Telugu,88,Psychology,90,2024,Telangana Board
33,Arjun Patel,82,85,84,87,Punjabi,85,Arts,84,2024,Punjab Board
34,Siya Singh,88,90,84,85,Gujarati,90,Sociology,84,2024,Gujarat Board
35,Yuvraj Reddy,90,82,85,89,Marathi,82,Music,85,2024,Maharashtra Board
36,Ananya Reddy,82,85,88,84,Bengali,85,Dance,88,2024,West Bengal Board
37,Aarav Reddy,85,88,90,82,Tamil,88,Psychology,90,2024,Tamil Nadu Board
38,Myra Reddy,88,90,84,85,Kannada,90,Arts,84,2024,Karnataka Board
39,Advik Singh,78,82,85,89,Odia,82,Sociology,85,2024,Odisha Board
40,Saanvi Patel,92,85,88,84,Malayalam,85,Music,88,2024,Kerala Board
41,Aryan Patel,80,82,87,90,Hindi,82,Dance,87,2024,CBSE
42,Anvi Reddy,85,88,90,82,Telugu,88,Psychology,90,2024,Telangana Board
43,Arjun Patel,82,85,84,87,Punjabi,85,Arts,84,2024,Punjab Board
44,Siya Singh,88,90,84,85,Gujarati,90,Sociology,84,2024,Gujarat Board
45,Yuvraj Reddy,90,82,85,89,Marathi,82,Music,85,2024,Maharashtra Board
46,Ananya Reddy,82,85,88,84,Bengali,85,Dance,88,2024,West Bengal Board
47,Aarav Reddy,85,88,90,82,Tamil,88,Psychology,90,2024,Tamil Nadu Board
48,Myra Reddy,88,90,84,85,Kannada,90,Arts,84,2024,Karnataka Board
49,Advik Singh,78,82,85,89,Odia,82,Sociology,85,2024,Odisha Board
50,Saanvi Patel,92,85,88,84,Malayalam,85,Music,88,2024,Kerala Board
51,Anushka Sharma,70,72,75,78,Marathi,75,Arts,72,2024,Maharashtra Board
52,Aditya Patel,68,70,72,75,Gujarati,72,Music,70,2024,Gujarat Board
